,NOMBRE,DIRECCION,BARRIO,COCINA,SITUACION,TERRAZA,SUPERFICIE_OCUPADA,RATING,NUM_OPINIONES,PRECIO,LONGITUD,LATITUD
676,La Tagliatella - Som Multiespai BCN,"AV. RIO DE JANEIRO, 42",Porta,Sin información,Abierto,No,None,0.0,0,18,2.18012,41.43547
677,La Tagliatella - Travessera de Gracia,"TRAV. GRACIA, 87",Sant Gervasi - Galvany,Sin información,None,No,None,9.2,483,18,2.15164,41.3976
678,La Tagliatella Diagonal,"AV. DIAGONAL, 431",l'Antiga Esquerra de l'Eixample,Sin información,Abierto,Si,19.44,8.8,471,18,2.15245,41.39452
679,La Tagliatella Diagonal Mar,"AV. DIAGONAL, 3",Diagonal Mar i el Front Marítim del Poblenou,Sin información,Abierto,Si,16.2,8.9,535,18,2.21642,41.41045
680,La Tagliatella Enric Granados,"C. ENRIC GRANADOS, 63",l'Antiga Esquerra de l'Eixample,ITALIANO,None,Si,9.0,8.1,286,18,2.15794,41.39104
681,La Tagliatella La Maquinista,"PG. POTOSI, 2",el Bon Pastor,Sin información,Abierto,No,None,0.0,0,18,2.19848,41.4408
682,La Tagliatella Las Arenas,"G.V.. CORTS CATALANES, 373",la Nova Esquerra de l'Eixample,Sin información,Abierto,Si,42.75,7.8,301,18,2.14997,41.37603
683,La Tagliatella Mallorca,"C. MALLORCA, 266",la Dreta de l'Eixample,Sin información,Abierto,Si,4.37,0.0,0,18,2.16383,41.39467
684,La Tagliatella Muntaner,"C. MUNTANER, 359",Sant Gervasi - Galvany,Sin información,Abierto,No,None,8.9,203,18,2.14352,41.39853
685,La Tagliatella Pau Claris,"C. PAU CLARIS, 118",la Dreta de l'Eixample,Sin información,Abierto,Si,5.7,6.6,202,18,2.16793,41.39228
686,La Tagliatella Sarria,"C. DOCTOR FERRAN, 25",Pedralbes,Sin información,Abierto,No,None,8.9,503,18,2.12435,41.38962
687,La Tagliatella Tarradellas,"AV. JOSEP TARRADELLAS, 116",la Nova Esquerra de l'Eixample,Sin información,None,Si,11.25,7.4,245,18,2.14387,41.39014
688,La Tapa del Triomf,"PG. LLUIS COMPANYS, 8","Sant Pere, Santa Caterina i la Ribera",ESPAÑOL,Cerrado,Si,2.25,0.0,0,12,2.18323,41.38979
689,La Taqueria Pujades,"C. PUJADES, 172",el Poblenou,MEXICANO,Abierto,Si,4.5,9.2,134,15,2.19983,41.4009
690,La Taqueria Sardenya,"C. SARDENYA, 304",la Sagrada Família,MEXICANO,Abierto,Si,5.2,8.8,127,15,2.17493,41.40235
691,La Tata,"C. CALABRIA, 69",Sant Antoni,MEDITERRANEO,Abierto,Si,5.7,9.4,6091,40,2.15693,41.3781
692,La Taula,"C. SANT MARIUS, 8",Sant Gervasi - la Bonanova,MEDITERRANEO,None,No,None,0.0,97,26,2.13794,41.40436
