Outlet,St. type,Street,Number,Postal code,Latitude,Longitude,Municipality,Situation,Date
RUNFIT,CL,CASTILLEJOS,338,08025,41.41023,2.17347,BARCELONA,Abierto con normalidad,2021-04-13
FRUTERÍA DYLAN,CL,ROSSELLO,196,08008,41.39304,2.15697,BARCELONA,Abierto con normalidad,2021-04-29
RE-POT MARKET,CL,BORI I FONTESTA,16,08021,41.39318,2.13925,BARCELONA,Abierto con normalidad,2021-04-29
SANTAGLORIA,CR,CALL,26,08002,41.38238,2.17638,BARCELONA,Abierto con normalidad,2021-03-26
ANDELE ARENAS,CR,TARRAGONA,70,08015,41.37586,2.14869,BARCELONA,Cerrado temporalmente por COVID,2021-02-22
BAR CAFETERIA FUXING,CR,MENORCA,80,08020,41.42110,2.19893,BARCELONA,Abierto con normalidad,2021-04-27
SUPER GRACIA,CR,"L'ENCARNACIO",140,08025,41.40911,2.16440,BARCELONA,Abierto con normalidad,2021-04-29
BAR LAS ARENAS,CR,ARAGO,39,08015,41.37950,2.14805,BARCELONA,Abierto con normalidad,2021-04-29
SUPERMERCADOS,CR,ROSARI,14,08017,41.39595,2.12904,BARCELONA,Abierto con normalidad,2021-04-26
BAR MARTIN´S,PZ,ARTOS,6,08034,41.39532,2.12598,BARCELONA,Abierto con normalidad,2021-04-28
TORTERIA MEXICANA,CR,PADILLA,296,08025,41.40766,2.17459,BARCELONA,NS/NC,2021-04-22
ALIMENTACION MAIS III,CR,SANT CARLES,5,08003,41.37897,2.18853,BARCELONA,Abierto con normalidad,2021-04-27
BOKA,CL,GRAN VIA DE LES CORTS CATALANES,373,08015,41.37587,2.14992,BARCELONA,Abierto exclusivamente para take away/delivery,2021-02-22
LA TABERNA DEL MOSSEN,PZ,MOSSEN CLAPES,7,08030,41.44184,2.18746,BARCELONA,Abierto con normalidad,2021-04-28
CAFÉ DEL REY,CL,LLANÇA,16,08015,41.37590,2.15106,BARCELONA,Abierto con normalidad,2021-04-29
LA CALETA,CL,DOCTOR TRUETA,213,08005,41.39879,2.20372,BARCELONA,Abierto con normalidad,2021-04-26
BAR DEL BORN,PS,BORN,26,08003,41.38477,2.18298,BARCELONA,Abierto con normalidad,2021-04-23
HAPPY RTE.,CR,LLANÇA,15,08015,41.37672,2.14986,BARCELONA,Cerrado estacional,2021-03-11
BAR RESTAURANTE LITORAL,CR,MARE DE DEU DE PORT,14,08038,41.35203,2.15784,BARCELONA,Abierto con normalidad,2021-04-28
BAR OASIS,PS,FABRA I PUIG,81,08030,41.43020,2.18393,BARCELONA,Cierre definitivo por Covid,2020-11-23
RIBS RESTAURANT DIAGONAL MAR,AV,DIAGONAL,3,08019,41.41057,2.21629,BARCELONA,Abierto con normalidad,2021-04-28
"BAR FIZZ D'OR",CL,AUSIAS MARC,71,08013,41.39376,2.17884,BARCELONA,Abierto con normalidad,2021-04-30
