nombre,cocina,direccion,rating,num_opiniones,precio
Bam Bam Doner,TURCO,"Ronda de la Universitat, 16, 08007, Barcelona",9.3,5,12
Vegan Food Heaven,€,"Av. d'Icària, 178, 08005, Barcelona",9.3,8,15
Tabú,JAPONÉS,"Carrer del Bruc, 46, 08010, Barcelona",8.9,17,25
L' Origen,MEDITERRÁNEO,"Carrer d'Aribau, 100, 08036, Barcelona",8.9,40,25
Conesa Beer Barcelona,CATALÁN,"Carrer de Casanova, 62, 08011, Barcelona",9.0,104,15
El cafe d'en Victor,MEDITERRÁNEO,"Carrer de la Tapineria, 12, 08002, Barcelona",8.8,78,25
Stix SushiBar,JAPONÉS,"Carrer de València, 189, 08011, Barcelona",8.3,8,20
Can Pizza - Poble Nou,ITALIANO,"Rambla del Poblenou, 127, 08018, Barcelona",9.6,62,18
El 9 Porró,MEDITERRÁNEO,"Dr. Trueta 225, 08005, Barcelona",8.5,40,15
蜀乐香 - SLX Sichuan Hot Pot,CHINO,"Gran Via de les Corts Catalanes, 692, 08010, Barcelona",9.7,60,25
Mimo's Born,MEDITERRÁNEO,"Plaça de Jacint Reventós, 08003, Barcelona",9.5,161,25
Greco's of Brooklyn,ITALIANO,"Carrer de Mallorca, 308, 08037, Barcelona",9.5,175,15
La Maroteca - Peix Salvatge,MARISQUERÍA,"Carrer d'Aribau, 37, 08011, Barcelona",9.5,141,60
Las Cazuelitas Mexicanas,MEXICANO,"Carrer de la Granada del Penedès, 19, 08006, Barcelona",9.3,214,17
Meraviglioso,ITALIANO,"C/ Valencia, 28, 08015, Barcelona",9.6,328,22
Jardín de Chen,CHINO,"Carrer de Villarroel, 6, Barcelona, Spain, 08011, Barcelona",9.6,34,19
Karakala,LIBANÉS,"C/ Torrent de la Olla, 136, 08012, Barcelona",9.4,749,18
Funicular,MEDITERRÁNEO,"C/ Vallhonrat, 28, 08004, Barcelona",9.5,129,20
La Tere Gastrobar,MEDITERRÁNEO,"Calle Riego 25 Bajos, 08014, Barcelona",9.5,1637,20
Oporto,PORTUGUÉS,"Carrer de Sardenya, 296, Local 1, 08013, Barcelona",9.5,614,25
Napa,AMERICANO,"C/ Aribau, 151, 08036, Barcelona",9.5,638,50
La Taverna del Clínic,MEDITERRÁNEO,"C/ Rosello, 155, 08036, Barcelona",9.1,474,16
Tapería Ordesa,ESPAÑOL,"Gran Via de les Corts Catalanes, 522, 08011, Barcelona",8.7,1267,30
Bilou,CATALÁN,"Carrer de Pau Claris, 85, 08010, Barcelona",9.4,97,18
Fukuoka Sushi & Grill,JAPONÉS,"Carrer de Milà i Fontanals, 60, 08012, Barcelona",9.4,1199,11
Tapa Tapa - C.C. Arenas,MEDITERRÁNEO,"Carrer de Llança, 15, 08015, Barcelona",8.4,77,15
Junca,ESPAÑOL,"Passeig de la Verneda, 123, 08020, Barcelona",8.3,18,15
Antic Villarroel,MEDITERRÁNEO,"Carrer de Villarroel, 182, 08036, Barcelona",9.4,93,35
Cocorocó Sazón Peruana,PERUANO,"Carrer de Muntaner, 83C local 1, 08011, Barcelona",9.3,250,17
Brera Restaurant Gnocchi Bar,ITALIANO,"Carrer de l'Àliga, 25, 08014, Barcelona",9.4,504,30
sensEspina,MEDITERRÁNEO,"Carrer de París, 209, 08008, Barcelona",9.4,141,20
El Kiosko - Barcelona,MEDITERRÁNEO,"Av. de Josep Tarradellas, 153, 08029, Barcelona",9.1,994,18
Catalunya,ESPAÑOL,"Carrer d'Avinyó, 42, 08002, Barcelona",8.0,188,20
El Clot,MEDITERRÁNEO,"Carrer de Aragó, 600, 08018, Barcelona",8.5,669,13
Anauco Sagrada Familia,AMERICANO,"Carrer de València, 428, 08013, Barcelona",9.3,1024,22
Souvenir,RUSO,"Carrer de València, 232, 08007, Barcelona",9.3,834,"[19, 18, 20, 20, 25, 50, 16, 30, 18, 11, 15, 15, 35, 17, 30, 20, 18, 20, 13, 22]"
Bombay spicy,INDIO,"Carrer de Sant Pau, 16-18, 08001, Barcelona",9.6,49,20
Terraza Restaurante Catedral 1951,MEDITERRÁNEO,"Avenida Catedral, 7, 08002, Barcelona",9.5,150,30
Askadinya,ÁRABE,"Carrer de Verdi, 28, 08012, Barcelona",9.4,232,18
Pan Asia,JAPONÉS,"Carrer de Brusi, 37, 08006, Barcelona",8.4,271,18
B Lounge - Hotel Barceló Raval,MEDITERRÁNEO,"Rambla del Raval, 17-21, 08001, Barcelona",0.0,0,26
La lola de las arenas,MEDITERRÁNEO,"Gran Via de les Corts Catalanes, 373, 08015, Barcelona",8.6,165,20
Le Divan,FUSIÓN,"Carrer de Guillem Tell, 10, 08006, Barcelona",9.0,39,18
Suculent,MEDITERRÁNEO,"Rambla del Raval, 45, 08001, Barcelona",9.5,301,45
Da Antonio,ITALIANO,"Carrer de Vallmajor, 33, 08021, Barcelona",8.7,17,25
Restaurant Smith,MEDITERRÁNEO,"Carrer dels Cortada, 32, 08035, Barcelona",8.7,18,20
Tasty Q,MEDITERRÁNEO,"Carrer d'Aribau, 131, 08036, Barcelona",8.8,180,25
Lokal,ESPAÑOL,"Carrer del Bruc, 118, 08009, Barcelona",9.5,629,20
Arábica,LIBANÉS,"Carrer de Viladomat, 213, 08029, Barcelona",9.3,3948,15
